,case,case-id,case-value,node,X,Y,Z,FBZ
,Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,[m],[m],[m],[N]
0,"Phased, Load-step 1, Load-factor 0.10000",136,13.599999999999968,71865188,18342.0,-63.40000000000005,-2.720000000000002,16499800.0
1,"Phased, Load-step 2, Load-factor 0.20000",272,27.199999999999935,71865188,18342.0,-63.40000000000005,-2.720000000000002,33004100.0
2,"Phased, Load-step 3, Load-factor 0.30000",408,40.79999999999997,71865188,18342.0,-63.40000000000005,-2.720000000000002,49501600.0
3,"Phased, Load-step 4, Load-factor 0.40000",544,54.39999999999987,71865188,18342.0,-63.40000000000005,-2.720000000000002,66010200.0
4,"Phased, Load-step 5, Load-factor 0.50000",680,68.0,71865188,18342.0,-63.40000000000005,-2.720000000000002,82511000.0
5,"Phased, Load-step 6, Load-factor 0.60000",816,81.59999999999994,71865188,18342.0,-63.40000000000005,-2.720000000000002,98984000.0
6,"Phased, Load-step 7, Load-factor 0.70000",952,95.20000000000023,71865188,18342.0,-63.40000000000005,-2.720000000000002,115503000.0
7,"Phased, Load-step 8, Load-factor 0.80000",1088,108.79999999999974,71865188,18342.0,-63.40000000000005,-2.720000000000002,132052900.0
8,"Phased, Load-step 9, Load-factor 0.90000",1224,122.40000000000029,71865188,18342.0,-63.40000000000005,-2.720000000000002,148573900.0
9,"Phased, Load-step 10, Load-factor 1.0000",1360,136.0,71865188,18342.0,-63.40000000000005,-2.720000000000002,164948500.0
10,"Phased 1, Start-step 1, Load-factor 0.25000",142,35.5,74272838,19080.0,-110.3600000000001,-2.840000000000002,41254900.0
11,"Phased 1, Start-step 2, Load-factor 0.50000",284,71.0,74272838,19080.0,-110.3600000000001,-2.840000000000002,82514400.0
12,"Phased 1, Start-step 3, Load-factor 0.75000",426,106.5,74272838,19080.0,-110.3600000000001,-2.840000000000002,123795700.0
13,"Phased 1, Start-step 4, Load-factor 1.0000",568,142.0,74272838,19080.0,-110.3600000000001,-2.840000000000002,164967600.0
14,"Phased 1, Load-step 5, Load-factor 0.20000",710,28.39999999999993,74272838,19080.0,-110.3600000000001,-2.840000000000002,168929000.0
15,"Phased 1, Load-step 6, Load-factor 0.40000",852,56.79999999999986,74272838,19080.0,-110.3600000000001,-2.840000000000002,172758000.0
16,"Phased 1, Load-step 7, Load-factor 0.60000",994,85.1999999999999,74272838,19080.0,-110.3600000000001,-2.840000000000002,176668100.0
17,"Phased 1, Load-step 8, Load-factor 0.80000",1136,113.59999999999972,74272838,19080.0,-110.3600000000001,-2.840000000000002,180558600.0
18,"Phased 1, Load-step 9, Load-factor 1.0000",1278,142.0,74272838,19080.0,-110.3600000000001,-2.840000000000002,184414500.0
19,"Phased 1, Load-step 10, Load-factor 0.10000",1420,14.199999999999966,74272838,19080.0,-110.3600000000001,-2.840000000000002,185512700.0
20,"Phased 1, Load-step 11, Load-factor 0.20000",1562,28.39999999999993,74272838,19080.0,-110.3600000000001,-2.840000000000002,186645300.0
21,"Phased 1, Load-step 12, Load-factor 0.30000",1704,42.59999999999995,74272838,19080.0,-110.3600000000001,-2.840000000000002,187764700.0
22,"Phased 1, Load-step 13, Load-factor 0.40000",1846,56.79999999999986,74272838,19080.0,-110.3600000000001,-2.840000000000002,188848720.0
23,"Phased 1, Load-step 14, Load-factor 0.50000",1988,71.0,74272838,19080.0,-110.3600000000001,-2.840000000000002,189945820.0
24,"Phased 1, Load-step 15, Load-factor 0.60000",2130,85.1999999999999,74272838,19080.0,-110.3600000000001,-2.840000000000002,191060960.0
25,"Phased 1, Load-step 16, Load-factor 0.70000",2272,99.40000000000025,74272838,19080.0,-110.3600000000001,-2.840000000000002,192144930.0
26,"Phased 1, Load-step 17, Load-factor 0.80000",2414,113.59999999999972,74272838,19080.0,-110.3600000000001,-2.840000000000002,193274110.0
27,"Phased 1, Load-step 18, Load-factor 0.50000E-01",2556,7.099999999999983,74272838,19080.0,-110.3600000000001,-2.840000000000002,195677300.0
28,"Phased 1, Load-step 19, Load-factor 0.10000",2698,14.199999999999966,74272838,19080.0,-110.3600000000001,-2.840000000000002,198195100.0
29,"Phased 1, Load-step 20, Load-factor 0.15000",2840,21.299999999999976,74272838,19080.0,-110.3600000000001,-2.840000000000002,200539200.0
30,"Phased 1, Load-step 21, Load-factor 0.20000",2982,28.39999999999993,74272838,19080.0,-110.3600000000001,-2.840000000000002,202890090.0
31,"Phased 1, Load-step 22, Load-factor 0.25000",3124,35.5,74272838,19080.0,-110.3600000000001,-2.840000000000002,205481000.0
32,"Phased 1, Load-step 23, Load-factor 0.30000",3266,42.59999999999995,74272838,19080.0,-110.3600000000001,-2.840000000000002,207858270.0
33,"Phased 1, Load-step 24, Load-factor 0.35000",3408,49.700000000000124,74272838,19080.0,-110.3600000000001,-2.840000000000002,210243580.0
34,"Phased 1, Load-step 25, Load-factor 0.40000",3550,56.79999999999986,74272838,19080.0,-110.3600000000001,-2.840000000000002,212635000.0
35,"Phased 1, Load-step 26, Load-factor 0.45000",3692,63.90000000000016,74272838,19080.0,-110.3600000000001,-2.840000000000002,215007360.0
36,"Phased 1, Load-step 27, Load-factor 0.50000",3834,71.0,74272838,19080.0,-110.3600000000001,-2.840000000000002,217492221.0
37,"Phased 1, Load-step 28, Load-factor 0.55000",3976,78.0999999999998,74272838,19080.0,-110.3600000000001,-2.840000000000002,219854620.0
38,"Phased 1, Load-step 29, Load-factor 0.60000",4118,85.1999999999999,74272838,19080.0,-110.3600000000001,-2.840000000000002,222314380.0
39,"Phased 1, Load-step 30, Load-factor 0.65000",4260,92.30000000000015,74272838,19080.0,-110.3600000000001,-2.840000000000002,224703940.0
40,"Phased 1, Load-step 31, Load-factor 0.70000",4402,99.40000000000025,74272838,19080.0,-110.3600000000001,-2.840000000000002,227141250.0
41,"Phased 1, Load-step 32, Load-factor 0.75000",4544,106.5,74272838,19080.0,-110.3600000000001,-2.840000000000002,229517600.0
42,"Phased 1, Load-step 33, Load-factor 0.80000",4686,113.59999999999972,74272838,19080.0,-110.3600000000001,-2.840000000000002,231983700.0
43,"Phased 1, Load-step 34, Load-factor 0.85000",4828,120.69999999999969,74272838,19080.0,-110.3600000000001,-2.840000000000002,234321300.0
44,"Phased 1, Load-step 35, Load-factor 0.90000",4970,127.80000000000032,74272838,19080.0,-110.3600000000001,-2.840000000000002,236682680.0
45,"Phased 1, Load-step 36, Load-factor 0.95000",5112,134.90000000000018,74272838,19080.0,-110.3600000000001,-2.840000000000002,239224690.0
46,"Phased 1, Load-step 37, Load-factor 1.0000",5254,142.0,74272838,19080.0,-110.3600000000001,-2.840000000000002,241680770.0
47,"Phased 1, Load-step 38, Load-factor 0.50000E-01",5396,7.099999999999983,74272838,19080.0,-110.3600000000001,-2.840000000000002,246203845.0
48,"Phased 1, Load-step 39, Load-factor 0.10000",5538,14.199999999999966,74272838,19080.0,-110.3600000000001,-2.840000000000002,250703871.0
49,"Phased 1, Load-step 40, Load-factor 0.15000",5680,21.299999999999976,74272838,19080.0,-110.3600000000001,-2.840000000000002,255332790.0
50,"Phased 1, Load-step 41, Load-factor 0.20000",5822,28.39999999999993,74272838,19080.0,-110.3600000000001,-2.840000000000002,259863310.0
51,"Phased 1, Load-step 42, Load-factor 0.25000",5964,35.5,74272838,19080.0,-110.3600000000001,-2.840000000000002,264588600.0
52,"Phased 1, Load-step 43, Load-factor 0.30000",6106,42.59999999999995,74272838,19080.0,-110.3600000000001,-2.840000000000002,269140760.0
53,"Phased 1, Load-step 44, Load-factor 0.32500",6248,46.15000000000008,74272838,19080.0,-110.3600000000001,-2.840000000000002,271499983.0
54,"Phased 1, Load-step 45, Load-factor 0.35000",6390,49.700000000000124,74272838,19080.0,-110.3600000000001,-2.840000000000002,273747493.0
55,"Phased 1, Load-step 46, Load-factor 0.37500",6532,53.25,74272838,19080.0,-110.3600000000001,-2.840000000000002,276034710.0
